zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,market_segment,price positioning,market trend,menu_signal_strength,Age Demand Level,Income Level,Growth Level,Competition Level,Cuisine Variety Level,Cuisine Focus Level,Customer Engagement Level,Fast Food Level,Healthy Level
20165,20165,Sterling,VA,Loudoun,39.05058,-77.38854,34222.0,2.85,1336.5,SUBURBAN,173015,millennial,2.2284621818616324,740,13591,2.0,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,High,High,Low,Medium,Medium,High
20886,20886,Montgomery Village,MD,Montgomery,39.17952,-77.197,34692.0,2.83,3268.6,URBAN,94586,millennial,0.6498781478472786,1678,28050,1.0,Family Value Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Stable,Medium,Low,High,High,High,Low
22205,22205,Arlington,VA,Arlington,38.88337,-77.13948,18523.0,2.69,2510.5,SUBURBAN,206369,adult,-1.5937948254794665,547,10945,1.0,Premium Dining Market,higher-income trade area,broad local cuisine variety,High,Balanced Age Demand,High,Declining,High,High,Low,Low,Low,Low
21224,21224,Baltimore,MD,Baltimore,39.28309,-76.54088,44915.0,2.3,1965.0,SUBURBAN,86443,millennial,-11.857055949133583,1177,15209,1.0,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,Low,Medium,High,High,Low,Low
22304,22304,Alexandria,VA,Alexandria,38.81361,-77.11498,49711.0,2.12,3873.0,URBAN,98238,millennial,3.1113231420215306,346,7076,1.0,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Stable,Low,High,Low,Medium,High,Low
20906,20906,Silver Spring,MD,Montgomery,39.08858,-77.05522,71560.0,2.75,2140.5,SUBURBAN,91563,adult,2.107501105831657,1678,28050,1.0,Family Value Market,value-oriented trade area,customer engagement,Medium,Balanced Age Demand,Low,Stable,Low,Medium,Medium,Medium,Low,Low
20002,20002,Washington,DC,District of Columbia,38.90511,-76.98431,70043.0,2.04,5441.7,URBAN,107130,millennial,13.362034084839852,2046,40920,3.0,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium
22311,22311,Alexandria,VA,Alexandria,38.83442,-77.12313,19531.0,2.34,4824.2,URBAN,84948,millennial,9.368350319184678,346,7076,1.0,Family Value Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,High,Medium,Medium,Low,High,Low
21061,21061,Glen Burnie,MD,Anne Arundel,39.16116,-76.63226,55172.0,2.49,1812.6,SUBURBAN,79778,millennial,2.9635712152881455,1069,23961,3.0,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low
22041,22041,Falls Church,VA,Fairfax,38.8485,-77.14212,29132.0,2.59,4060.6,URBAN,86731,millennial,1.7320854867998323,2149,36281,1.0,Family Value Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Stable,Medium,Low,High,High,High,Low
21236,21236,Nottingham,MD,Baltimore,39.38789,-76.48552,38632.0,2.49,1710.5,SUBURBAN,91855,millennial,-1.7822184933770624,1418,25165,1.0,Healthy Lifestyle Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Low,Medium,Medium,Medium,Low,High
