zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,AREA_TYPE,cluster_id,market_segment,price positioning,market trend,menu_signal_strength,Age Demand Level,Income Level,Growth Level,Competition Level,Cuisine Variety Level,Cuisine Focus Level,Customer Engagement Level,Fast Food Level,Healthy Level,Beverage Level,Wings Level,restaurant_source_file
20165,20165,Sterling,VA,Loudoun,SUBURBAN,8,Social Dining Market,higher-income trade area,beverage-led food concentration,High,Balanced Age Demand,High,Stable,High,High,Low,Medium,Medium,High,High,Medium,Comp_Restaurants_Curated_DCA.csv
20886,20886,Montgomery Village,MD,Montgomery,URBAN,5,Youth Convenience Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Stable,Medium,Low,High,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
22205,22205,Arlington,VA,Arlington,SUBURBAN,2,Youth Convenience Market,higher-income trade area,broad local cuisine variety,High,Balanced Age Demand,High,Declining,High,High,Low,Low,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21224,21224,Baltimore,MD,Baltimore,SUBURBAN,10,Social Dining Market,value-oriented trade area,beverage-led food concentration,High,Balanced Age Demand,Low,Declining,Low,Medium,High,High,Low,Low,High,Medium,Comp_Restaurants_Curated_DCA.csv
22304,22304,Alexandria,VA,Alexandria,URBAN,14,Social Dining Market,mid-market trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Medium,Stable,Low,High,Low,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
20906,20906,Silver Spring,MD,Montgomery,SUBURBAN,5,Youth Convenience Market,value-oriented trade area,customer engagement,Medium,Balanced Age Demand,Low,Stable,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20002,20002,Washington,DC,District of Columbia,URBAN,8,Social Dining Market,mid-market trade area,beverage-led food concentration,High,Balanced Age Demand,Medium,Growing,Medium,Medium,Low,High,Low,Medium,High,Medium,Comp_Restaurants_Curated_DCA.csv
22311,22311,Alexandria,VA,Alexandria,URBAN,5,Youth Convenience Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Growing,High,Medium,Medium,Low,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21061,21061,Glen Burnie,MD,Anne Arundel,SUBURBAN,1,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,High,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
22041,22041,Falls Church,VA,Fairfax,URBAN,5,Youth Convenience Market,value-oriented trade area,fast-service concentration,High,Balanced Age Demand,Low,Stable,Medium,Low,High,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21236,21236,Nottingham,MD,Baltimore,SUBURBAN,11,Youth Convenience Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Low,Medium,Medium,Medium,Low,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20903,20903,Silver Spring,MD,Montgomery,SUBURBAN,7,Healthy Lifestyle Market,value-oriented trade area,health-oriented food concentration,High,Balanced Age Demand,Low,Declining,Medium,Medium,Medium,High,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20602,20602,Waldorf,MD,Charles,RURAL,3,Youth Convenience Market,mid-market trade area,fast-service concentration,High,Balanced Age Demand,Medium,Growing,Medium,Low,High,Low,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20176,20176,Leesburg,VA,Loudoun,RURAL,5,Youth Convenience Market,higher-income trade area,fast-service concentration,High,Balanced Age Demand,High,Declining,Low,Low,High,High,High,Low,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
20721,20721,Bowie,MD,Prince George's,RURAL,9,Healthy Lifestyle Market,higher-income trade area,health-oriented food concentration,High,Balanced Age Demand,High,Stable,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Comp_Restaurants_Curated_DCA.csv
21030,21030,Cockeysville,MD,Baltimore,RURAL,1,Social Dining Market,value-oriented trade area,wings and chicken-wing concentration,High,Balanced Age Demand,Low,Stable,High,Low,Low,Medium,Medium,Low,Medium,High,Comp_Restaurants_Curated_DCA.csv
