zip_or_postal_code,ZCTA,CITY,STATE,COUNTY,LAT,LNG,POP,AVG_HOUSEHOLD_SIZE,POP_DENSITY,AREA_TYPE,MEDIAN_INCOME,age_group,population_growth_rate,ESTAB,EMP,RESTAURANT_COUNT,cluster_id,market_segment,restaurant category,price positioning,restaurant_source_file
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,495.6,RURAL,41830,young,1.0263515767326097,1590.0,31577.0,54.0,8,Social Dining Market,Wings-focused restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38637,38637,Horn Lake,MS,DeSoto,34.95105,-90.05004,26652.0,2.66,649.4,RURAL,57111,millennial,-1.2852327863994963,351.0,8323.0,44.0,0,Social Dining Market,Seafood-focused restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38109,38109,Memphis,TN,Shelby,35.0341,-90.13533,45204.0,2.7,274.5,RURAL,35018,millennial,2.5987879888331555,1590.0,31577.0,23.0,3,Family Value Market,Wings-focused restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38119,38119,Memphis,TN,Shelby,35.07986,-89.84593,22990.0,2.31,1027.6,SUBURBAN,92500,adult,-2.1327316844749054,1590.0,31577.0,63.0,4,Premium Dining Market,Asian cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,267.7,RURAL,131354,adult,3.716008137516565,1590.0,31577.0,74.0,9,Premium Dining Market,Chicken-focused restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38106,38106,Memphis,TN,Shelby,35.10067,-90.0375,23140.0,2.44,778.4,RURAL,29098,adult,-7.001044932079415,1590.0,31577.0,22.0,3,Family Value Market,General restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38671,38671,Southaven,MS,DeSoto,34.96376,-89.99567,37288.0,2.61,648.3,RURAL,58854,millennial,1.8102389078498295,351.0,8323.0,83.0,0,Social Dining Market,Mexican cuisine restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,797.3,RURAL,82355,millennial,2.837982832618026,1590.0,31577.0,82.0,9,Premium Dining Market,Wings-focused restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38017,38017,Collierville,TN,Shelby,35.06722,-89.65347,55570.0,2.83,267.7,RURAL,131354,adult,3.716008137516565,1590.0,31577.0,74.0,9,Premium Dining Market,Asian cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38116,38116,Memphis,TN,Shelby,35.03213,-90.01001,40212.0,2.61,787.7,RURAL,42354,millennial,-0.5785491766800178,1590.0,31577.0,70.0,8,Social Dining Market,Beverage-led restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,913.5,RURAL,57630,millennial,-2.9683885890516577,1590.0,31577.0,90.0,0,Social Dining Market,General restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38120,38120,Memphis,TN,Shelby,35.12344,-89.85237,13554.0,2.17,534.1,RURAL,112700,adult,-9.204180064308682,1590.0,31577.0,13.0,13,Social Dining Market,Beverage-led restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,913.5,RURAL,57630,millennial,-2.9683885890516577,1590.0,31577.0,90.0,0,Social Dining Market,Health-oriented restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38134,38134,Memphis,TN,Shelby,35.17674,-89.85992,42789.0,2.67,913.5,RURAL,57630,millennial,-2.9683885890516577,1590.0,31577.0,90.0,0,Social Dining Market,Fast-service restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,797.3,RURAL,82355,millennial,2.837982832618026,1590.0,31577.0,82.0,9,Premium Dining Market,Health-oriented restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38016,38016,Cordova,TN,Shelby,35.17956,-89.76046,46394.0,2.49,940.8,RURAL,72749,millennial,0.23549746138057684,1590.0,31577.0,83.0,4,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38018,38018,Cordova,TN,Shelby,35.13781,-89.76647,38338.0,2.71,797.3,RURAL,82355,millennial,2.837982832618026,1590.0,31577.0,82.0,9,Premium Dining Market,Fast-service restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38118,38118,Memphis,TN,Shelby,35.03655,-89.93021,39373.0,2.97,495.6,RURAL,41830,young,1.0263515767326097,1590.0,31577.0,54.0,8,Social Dining Market,Wings-focused restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,487.4,RURAL,103692,millennial,15.467732386027237,351.0,8323.0,37.0,4,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38668,38668,Senatobia,MS,Tate,34.60109,-89.92505,14076.0,2.51,35.6,RURAL,67077,millennial,-0.4526166902404526,44.0,560.0,16.0,5,Social Dining Market,Beverage-led restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38122,38122,Memphis,TN,Shelby,35.1571,-89.92247,24014.0,2.67,1473.8,SUBURBAN,45065,millennial,-5.901253918495298,1590.0,31577.0,56.0,0,Social Dining Market,Mexican cuisine restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,243.5,RURAL,96145,millennial,10.70602078838988,351.0,8323.0,98.0,9,Premium Dining Market,Beverage-led restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38672,38672,Southaven,MS,DeSoto,34.93727,-89.94943,15602.0,2.94,487.4,RURAL,103692,millennial,15.467732386027237,351.0,8323.0,37.0,4,Premium Dining Market,Beverage-led restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38654,38654,Olive Branch,MS,DeSoto,34.93635,-89.82409,56449.0,2.73,243.5,RURAL,96145,millennial,10.70602078838988,351.0,8323.0,98.0,9,Premium Dining Market,General restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38115,38115,Memphis,TN,Shelby,35.05499,-89.86362,36574.0,2.25,1731.5,SUBURBAN,39176,young,-11.693266050172635,1590.0,31577.0,65.0,8,Social Dining Market,Mexican cuisine restaurant,value-oriented trade area,MEM_compstore_restaurants.csv
38138,38138,Germantown,TN,Shelby,35.08477,-89.7993,25465.0,2.52,819.5,RURAL,122627,adult,2.5326139474955713,1590.0,31577.0,82.0,4,Premium Dining Market,Asian cuisine restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,1059.9,SUBURBAN,91680,adult,0.6627056672760512,1590.0,31577.0,84.0,4,Premium Dining Market,Beverage-led restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38103,38103,Memphis,TN,Shelby,35.15308,-90.05518,13981.0,1.53,2115.1,SUBURBAN,89851,millennial,-0.40604074654509187,1590.0,31577.0,91.0,4,Premium Dining Market,Health-oriented restaurant,higher-income trade area,MEM_compstore_restaurants.csv
38104,38104,Memphis,TN,Shelby,35.13253,-90.00435,23408.0,1.76,1764.8,SUBURBAN,53351,millennial,-0.7883360176316013,1590.0,31577.0,112.0,0,Social Dining Market,Beverage-led restaurant,mid-market trade area,MEM_compstore_restaurants.csv
38117,38117,Memphis,TN,Shelby,35.11504,-89.90551,26430.0,2.29,1059.9,SUBURBAN,91680,adult,0.6627056672760512,1590.0,31577.0,84.0,4,Premium Dining Market,Seafood-focused restaurant,higher-income trade area,MEM_compstore_restaurants.csv
