menu_section,restaurant_object_key,menu_item_name,description,menu_name,price,menu_item_extraction_date,restaurant_proprietary_url,restaurant_url,menu_proprietary_url,menu_source,app_filter,airport,datetime_timestamp,standardized_category,standardized_category_v1,main_category,sub_category,size
Combos,1195743,3pc Tenders Combo,"3 handcrafted tenders with a side, drink and a buttermilk biscuit. a compact taste of tender perfection.",Popeyes.,14.99,2025-10-31,null,null,null,https://www.ubereats.com/store/popeyes-louisiana-kitchen-5896-leesburg-pike/vuuKbEerVry3-kw3_WdkYA,false,DCA,2025-11-03T07:02:20.896Z,null,Combo,null,null,null
Beer Cans,860799,4 Pack Cider Original Sin Unfiltered - 12oz,null,Takeout,7.0,2025-10-31,http://www.sonomadc.com/,http://www.sonomadc.com/,http://www.sonomadc.com/#menus,https://www.opentable.com/r/sonoma-restaurant-and-wine-bar-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Wing Combos,1212031,8 Pc Wing Combo,"8 boneless or classic (bone-in) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink",Full Menu,17.69,2025-10-31,https://www.wingstop.com/location/wingstop-2145-cockeysville-md-21030/menu,https://www.wingstop.com/location/wingstop-2145-cockeysville-md-21030/menu,null,https://www.yelp.com/biz/wingstop-cockeysville,false,DCA,2025-11-03T07:02:20.896Z,null,Appetizers,null,null,null
Beverages,2067409,Arnold Palmer,lemonade & ice tea,Dinner,5.0,2025-10-31,http://www.centralmichelrichard.com,http://www.centralmichelrichard.com,https://www.centralmichelrichard.com/menus,https://www.opentable.com/r/central-michel-richard-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Non-Alcoholic Beverages,null,null,null
Burgers & Sandwiches,1759150,Bacon Mesquite Burger Tossed Salad With Ra,"the name says it all, topped with cheddar. served with choice of side.",Full Menu,4.0,2025-10-31,http://theopi.com,http://theopi.com,null,https://www.yelp.com/biz/the-olde-philadelphia-inn-rosedale,false,DCA,2025-11-03T07:02:20.896Z,null,Sandwiches & Burgers,null,null,null
Turkish,509292,"Bogazkere Prestige, 2004, Diyarbakir - 6oz","an indigenous grape used in the production of the best quality anatolian wine able to age. dried red fruits, prune, vanilla and caramel aromas with a rich and long finish",Wine List,12.0,2025-10-31,http://ezmedc.com/,http://ezmedc.com/,https://masked.com/,https://www.opentable.com/r/ezme-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Other,null,null,null
Cider All Natural Artisanally Crafted,2219658,"Brooklyn Cider House Rose / New Paltz, New York /% - Can",null,Beverage Menu,6.5,2025-10-31,http://www.copakitchenbar.com/,http://www.copakitchenbar.com/,https://masked.com/,https://www.opentable.com/r/copa-kitchen-and-bar-arlington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Bottled And Can Beer Selections,643176,"Bud Light, Lager, St. Louis, Mo%",null,Drink Menu,8.0,2025-10-31,http://www.lenfantbarandgrill.com,http://www.lenfantbarandgrill.com,http://places.singleplatform.com/lenfant-plaza-hotel/menu,https://www.opentable.com/r/lenfant-bar-and-grill-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Draft Beer Selections,643176,"Bud Light, Lager, St. Louis, Mo%",null,Drink Menu,9.0,2025-10-31,http://www.lenfantbarandgrill.com,http://www.lenfantbarandgrill.com,http://places.singleplatform.com/lenfant-plaza-hotel/menu,https://www.opentable.com/r/lenfant-bar-and-grill-washington,true,DCA,2025-11-03T07:02:20.896Z,null,"Beer, Seltzer & Cider",null,null,null
Left Bank Bordeaux,1779147,"Chateau Blaignan, Medoc 2016",null,Drinks Menu,70.0,2025-10-31,http://www.bistrocacao.com,http://www.bistrocacao.com,https://bistrocacao.com/#menu,https://www.opentable.com/r/bistro-cacao-washington,true,DCA,2025-11-03T07:02:20.896Z,null,Wine,null,null,null
