restaurant_name,country,city,address,formatted_address,latitude,longitude,state_or_province,restaurant_extraction_date,zip_or_postal_code,style,cuisines,restaurant_type,rating_value,review_count,phone,restaurant_proprietary_url,restaurant_url,menu_proprietary_url,price_range,takeout,alcohol_service,waiter_service,owner_verification,menu_source,source_restaurant_name,menu_last_updated_by_source,restaurant_source,yelp_menu_provider,restaurant_object_key,distance,app_filter,airport,catering_service,datetime_timestamp
All Star Hot Wings,United States Of America,MEMPHIS,"3111 S Perkins Rd Memphis, Tn",3111 S Perkins Rd,35.064,-89.90698499999999,TENNESSEE,2026-02-28,38118,Wings Joint,"wings joint, chicken wings, dining and drinking, fast food, american, wings, restaurant",QSR,90.0,53,+1 901-369-0504,http://allstarhotwings.net,http://allstarhotwings.net,http://allstarhotwings.net/All Star Wings Menu 012115.pdf,$$,Yes,No,Yes,,https://Perkins.allstarhotwings.com,All Star Hot Wings,,menufy,,808124,4.22107310403173,true,MEM,,2026-03-07T05:19:15.522Z
Crazy Lu Seafood Shack,United States Of America,HORN LAKE,"1631 Goodman Rd W, Horn Lake, Ms 38637, 1412",1631 Goodman Rd W,34.962055,-90.02123,MISSISSIPPI,2026-02-28,38637,Fish,"fish, seafood restaurant, cajun, dining and drinking, chicken, seafood, american, restaurant",,96.0,961,+1 662-253-8233,https://www.crazyluseafoodshack.com,https://www.crazyluseafoodshack.com,,$$,No,No,Yes,,https://www.CrazyLuSeafoodShack.com/order,Crazy Lu Seafood Shack,,menufy,,984572,6.089328668807378,true,MEM,,2026-03-07T05:19:15.522Z
Don Don's Hot Wings,United States Of America,MEMPHIS,"2926 S 3Rd St Memphis, Tn",2926 S 3Rd St,35.06948,-90.057815,TENNESSEE,2026-02-28,38109,Fried Chicken Joint,"fried chicken joint, chicken wings, dining and drinking, chicken, american, wings, restaurant",,0.0,26,+1 901-396-8377,http://www.dondonshotwings.com,http://www.dondonshotwings.com,,$$,Yes,No,Yes,,https://www.DonDonsMemphis.com/order,Don Don's Hot Wings,,menufy,,2480706,4.963584040417766,true,MEM,,2026-03-07T05:19:15.522Z
Poke Bros,United States Of America,MEMPHIS,"6515 Poplar Ave, Memphis, Tn 38119, 4878",6515 Poplar Ave,35.09888,-89.84605,TENNESSEE,2026-02-28,38119,Sushi,"sushi, japanese, dining and drinking, poke, hawaiian restaurant, seafood, asian, restaurant, group friendly, hawaiian",,5.0,4,+1 901-207-3351,http://www.eatpokebros.com,http://www.eatpokebros.com,http://www.eatpokebros.com/menu,$,Yes,No,Yes,,https://www.chownow.com/order/10830/locations/24206,Poke Bros,,chownow,,809922,8.363701455106279,true,MEM,,2026-03-07T05:19:15.522Z
Guthrie's,United States Of America,COLLIERVILLE,"975 W Poplar Ave Collierville, Tn",975 W Poplar Ave,35.04577,-89.69466,TENNESSEE,2026-02-28,38017,Sandwiches,"sandwiches, chicken shop, fried chicken joint, american (traditional), dining and drinking, fried chicken, fast food, american, restaurant",QSR,4.43798449612403,110,+1 662-380-5522,https://guthrieschicken.com,https://guthrieschicken.com,https://guthrieschicken.com/our-menu/,$,Yes,No,Yes,,https://www.chownow.com/order/26475/locations/54821,Guthrie's,,chownow,,2553045,15.98976593756226,true,MEM,,2026-03-07T05:19:15.522Z
Guthrie's Chicken,United States Of America,MEMPHIS,"4730 Elvis Presley Blvd, Memphis Tn",4730 Elvis Presley Blvd,35.10945,-90.02173,TENNESSEE,2026-02-28,38106,American (Traditional),american (traditional),,,0,+1 901-779-2855,https://guthrieschicken.com/,https://guthrieschicken.com/,,$,No,No,Yes,,https://www.chownow.com/order/26475/locations/61321,Guthrie's Chicken,,chownow,,2463308,5.2794537507128165,true,MEM,,2026-03-07T05:19:15.522Z
Maria's Cantina,United States Of America,SOUTHAVEN,"6717 Airways Blvd Ste 102, Southaven, Ms 38671, 8127",6717 Airways Blvd Ste 102,34.95911,-89.99075,MISSISSIPPI,2026-02-28,38671,Burgers,"burgers, mexican restaurant, mexican, cajun/creole, southwestern, dining and drinking, bar, cajun & creole, restaurant",Casual Dining,4.2,229,+1 662-772-5926,http://mariascantina.com/,http://mariascantina.com/,https://static1.squarespace.com/static/590aadce579fb34e49cd20ec/t/590f3c9ee4fcb51284f9e0e5/1494170787002/MARIAS.MENU.PDF,$$,Yes,Yes,Yes,,https://www.chownow.com/order/28175/locations/41714,Maria's Cantina,,chownow,,2267847,5.798266797641701,true,MEM,,2026-03-07T05:19:15.522Z
One and Only BBQ,United States Of America,CORDOVA,"153 Timber Creek Dr, Cordova Tn",153 Timber Creek Dr,35.13276,-89.76575,TENNESSEE,2026-02-28,38018,Barbecue,"barbecue, sandwiches, chicken wings",Casual Dining,,0,+1 901-275-8450,http://oneandonlybbq.com/,http://oneandonlybbq.com/,,$$,No,No,Yes,,https://www.chownow.com/order/3055/locations/11847,One and Only BBQ,,chownow,,2454674,13.476676541988844,true,MEM,,2026-03-07T05:19:15.522Z
Social Desiii Indian Cuisine & Bar,United States Of America,COLLIERVILLE,"9959 Winchester Rd Ste 101 Collierville, Tn",9959 Winchester Rd Ste 101,35.04657,-89.73326,TENNESSEE,2026-02-28,38017,Vegetarian,"vegetarian, indian, asian",Casual Dining,4.35330261136713,410,+1 901-286-4037,https://www.socialdesiii.com,https://www.socialdesiii.com,https://www.socialdesiii.com/products,$$,Yes,No,Yes,,https://www.chownow.com/order/42759/locations/64528,Social Desiii Indian Cuisine & Bar,,chownow,,2112944,13.802632995268992,true,MEM,,2026-03-07T05:19:15.522Z
Marlowe's Ribs & Restaurant,United States Of America,MEMPHIS,"4381 Elvis Presley Blvd, Memphis, Tn",4381 Elvis Presley Blvd,35.02898,-90.02556,TENNESSEE,2026-02-28,38116,Burgers,"burgers, barbecue, sandwiches, bbq joint, bbq, desserts, dining and drinking, american, barbeque, restaurant, diner",Casual Dining,4.4,1827,+1 901-332-4159,https://marlowesmemphis.com/,https://marlowesmemphis.com/,http://www.marlowesmemphis.net/menu/,$$,No,No,Yes,,https://www.chownow.com/order/7476/locations/10008,Marlowe's Ribs & Restaurant,,chownow,,2578214,2.9227569017968222,true,MEM,,2026-03-07T05:19:15.522Z
